word,RT,drift_score
अनुपयोगी,882.196875007633,0.5916870832443237
अनुपस्थित,760.240624986993,0.7023475170135498
अनुबंध,688.736666665793,0.5639816522598267
अनुभव,652.110000005539,0.4768933057785034
अनुभवहीन,944.056666655342,0.527463972568512
अनुभवी,751.95945945396,0.4408645629882812
अनुभाग,763.69999999494,0.6060448884963989
अनुभूति,709.184848494461,0.3591635227203369
अनुमति,677.771875010832,0.3827937841415405
अनुमान,691.099999993733,0.4695295691490173
अनुमानित,924.375757565778,0.568630576133728
अनुमोदन,803.805882347981,0.5963826775550842
अनुरुप,735.021621627831,0.5954021215438843
अनुरोध,629.046875015423,0.4822845458984375
अनुवाद,624.860606051812,0.3740803003311157
अनुशासन,700.191666669114,0.4987380504608154
अनुष्ठान,728.56944441341,0.5297428369522095
अनूठा,654.613333325057,0.4046067595481872
अनूठी,658.08000001385,0.4423129558563232
अनोखे,792.058333340133,0.5196833610534668
अनौपचारिक,817.53888886061,0.5892930030822754
अन्जान,790.230769229005,0.6019073724746704
अन्जाम,704.165217391762,0.5860196948051453
अन्त,691.542857155151,0.4473628997802734
अन्तर,747.480645151482,0.4659821391105652
अन्तरराष्ट्रीय,811.208333376627,0.4029914140701294
अन्तराल,842.447058822198,0.5425462126731873
अन्तर्राष्ट्रीय,713.695999999647,0.3709999322891235
अन्दाजा,740.510714287454,0.4375514984130859
अन्नदाता,741.973529344921,0.410157561302185
अन्नपूर्णा,785.869999995934,0.5706522464752197
अन्य,671.064516155275,0.4248365759849548
अन्यत्र,787.026315775847,0.7527123689651489
अपनत्व,1013.43750000876,0.4565744400024414
अपभ्रंश,882.118181824261,0.4719157218933105
अपमानित,825.178124983671,0.3446302413940429
अपयश,1026.78888887849,0.4378658533096313
अपरंपार,1119.96315787624,0.4960355162620544
अपराध,687.733333332669,0.3825323581695556
अपरिचित,909.306060602931,0.5834723114967346
अपरिहार्य,900.059090853267,0.5683225393295288
अपरोक्ष,1028.6349999939,0.4162065386772156
अपवित्र,761.916129009092,0.4091140031814575
अपशब्द,671.520689645774,0.4555156230926513
अपार,696.510714274777,0.5133811831474304
अपाहिज,869.337930932721,0.5981838703155518
अपेक्षाएं,801.22592592699,0.3983767032623291
अपेक्षाकृत,820.449999989527,0.5942344665527344
अफगान,785.303846159037,0.5752938985824585
अफरातफरी,1160.70499993545,0.5487132668495178
अफवाहे,709.028125003591,0.3665266633033752
अफवाहें,647.346875000741,0.3169252872467041
अफसर,647.551724149187,0.541217029094696
अफसरशाही,1176.61153846131,0.4155681729316711
अफेयर,747.912500011025,0.5314817428588867
अबतक,707.031999980696,0.5809313058853149
अबला,729.329166752529,0.4748740792274475
अबैध,776.200000004051,0.6548683643341064
अभय,710.009677408338,0.4786323308944702
अभागा,776.592592579946,0.6327453851699829
अभि,842.63333332006,0.6710493564605713
अभिजीत,753.134375002854,0.5100076198577881
अभिनन्दन,676.510000020483,0.4088141918182373
अभिनेता,681.127777771688,0.351498007774353
अभिभावक,699.9137931111,0.5682983994483948
अभिभूत,769.976923073705,0.4950814247131347
अभिमानी,765.53823530595,0.479556679725647
अभियान,679.476666662169,0.3690708875656128
अभियोग,733.968571418005,0.5999808311462402
अभिलाषी,712.912500007689,0.6206806898117065
अभिवादन,796.703448295529,0.4883844256401062
अभिशाप,756.399999978713,0.4565997719764709
अभूतपूर्व,907.443750009195,0.4525927305221557
अभ्यर्थियों,785.389285728053,0.3378224968910217
अभ्यर्थी,846.161538472325,0.3862353563308716
अभ्यस्त,930.000000019524,0.6234720945358276
अभ्यार्थी,677.575862072007,0.4155421257019043
अभ्यास,677.314705907045,0.5456631183624268
अमंगल,788.218518511392,0.623410701751709
अमरता,804.066666669322,0.4285560846328735
अमल,693.437499994761,0.4457707405090332
अमानत,917.474074069014,0.6173471212387085
अमावस्या,857.231884022534,0.599220335483551
अमीन,837.578571427765,0.6481214165687561
अमीर,579.170588202651,0.3862874507904053
अमीरों,634.503571444156,0.3599231243133545
अमूमन,910.025000003865,0.7136141061782837
अमूल्य,613.328125007203,0.3985575437545776
अमृतवाणी,816.563333327401,0.4577674865722656
अरण्य,732.229411784012,0.5294957160949707
अरबपति,723.858620694246,0.4722597002983093
अरबों,708.282857149138,0.3796547055244446
अरविंद,740.955555564983,0.4548523426055908
अरविन्द,738.464516129375,0.4532945156097412
अरसा,824.261904768502,0.6476975083351135
अराजक,851.000000019414,0.4538471698760986
अराजकता,1013.6400000209,0.3307396173477173
अरुण,678.284375023046,0.4979454278945923
अरोरा,874.511538426625,0.5462626814842224
अर्क,704.587500010055,0.4569670557975769
अर्जन,678.009090956068,0.6957311630249023
